Flicknamn 2019;;;;;;;;Innehåll;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2019.   ;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;
;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;;Antal bärare;;Rangordning;
2019;2018;;2019;2018;;;2019;2018;2019;2018
1;(1);Alice;688;(765);;Agnes;556;(529);12;(17)
2;(7);Olivia;645;(581);;Alice;688;(765);1;(1)
3;(8);Astrid;628;(565);;Alicia ;491;(543);19;(13)
4;(2);Maja ;618;(657);;Alma ;562;(564);9;(9)
5;(19);Vera ;607;(517);;Alva ;496;(468);18;(21)
6;(6);Ebba ;590;(597);;Amanda ;122;(157);100;(84)
7;(4);Ella ;582;(604);;Amelia ;205;(213);63;(62)
8;(5);Wilma;574;(600);;Astrid;628;(565);3;(8)
9;(9);Alma ;562;(564);;Bella;132;(98);97;(Ny)
10;(3);Lilly;561;(634);;Bianca ;189;(225);69;(56)
11;(10);Elsa;560;(559);;Bonnie;135;(93);93;(Ny)
12;(17);Agnes;556;(529);;Celine;287;(264);44;(47)
13;(12);Freja;537;(545);;Clara ;519;(467);16;(22)
14;(11);Saga;523;(547);;Cleo;178;(168);75;(80)
15;(18);Ellie;522;(522);;Cornelia ;144;(140);85;(95)
16;(22);Clara ;519;(467);;Ebba ;590;(597);6;(6)
17;(15);Signe ;511;(538);;Edith;274;(285);46;(42)
18;(21);Alva ;496;(468);;Elin;211;(268);62;(46)
19;(13);Alicia ;491;(543);;Elina ;144;(148);85;(91)
20;(16);Selma;489;(534);;Elise;278;(286);45;(41)
21;(26);Ester;485;(415);;Ella ;582;(604);7;(4)
22;(13);Stella ;461;(543);;Ellen;428;(454);26;(24)
23;(23);Julia;452;(459);;Ellie;522;(522);15;(18)
24;(20);Ines;442;(471);;Elsa;560;(559);11;(10)
25;(29);Leah;438;(365);;Elsie;144;(136);85;(96)
26;(24);Ellen;428;(454);;Elvira;297;(312);40;(36)
27;(25);Molly ;388;(437);;Emilia;289;(312);42;(36)
28;(34);Iris ;353;(343);;Emma;266;(288);47;(40)
29;(33);Sara;348;(347);;Ester;485;(415);21;(26)
30;(35);Luna;342;(334);;Felicia;145;(220);84;(59)
31;(30);Isabelle ;322;(364);;Filippa ;169;(141);78;(94)
31;(31);Nora;322;(356);;Freja;537;(545);13;(12)
31;(28);Nova ;322;(385);;Hailey;215;(225);60;(56)
34;(65);Hedda;320;(209);;Hanna;189;(210);69;(64)
35;(51);Mila;313;(238);;Hedda;320;(209);34;(65)
36;(38);Nellie;310;(309);;Hedvig ;169;(149);78;(90)
37;(42);Sofia ;303;(285);;Hilda ;139;(130);89;(99)
38;(44);Lova ;302;(282);;Hilma;171;(162);77;(82)
39;(39);Juni;301;(299);;Ida;195;(239);67;(50)
40;(36);Elvira;297;(312);;Ines;442;(471);24;(20)
40;(27);Linnéa;297;(392);;Ingrid;195;(242);67;(49)
42;(36);Emilia;289;(312);;Iris ;353;(343);28;(34)
43;(32);Sigrid ;288;(350);;Isabella;232;(245);55;(48)
44;(47);Celine;287;(264);;Isabelle ;322;(364);31;(30)
45;(41);Elise;278;(286);;Jasmine;187;(187);72;(72)
46;(42);Edith;274;(285);;Joline;141;(195);88;(70)
47;(40);Emma;266;(288);;Julia;452;(459);23;(23)
48;(53);Lykke;253;(236);;Julie;161;(173);80;(77)
49;(51);Liv ;245;(238);;Juni;301;(299);39;(39)
50;(68);Lo;244;(198);;Leah;438;(365);25;(29)
51;(67);Thea ;243;(207);;Leia;218;(234);59;(54)
52;(63);Meja;241;(211);;Lilly;561;(634);10;(3)
53;(55);Livia ;240;(226);;Linnéa;297;(392);40;(27)
54;(61);Tuva;237;(215);;Liv ;245;(238);49;(51)
55;(48);Isabella;232;(245);;Livia ;240;(226);53;(55)
56;(69);Sally;227;(197);;Lo;244;(198);50;(68)
57;(59);Majken ;222;(220);;Lova ;302;(282);38;(44)
58;(58);Maria;221;(224);;Lovis;155;(131);82;(98)
59;(54);Leia;218;(234);;Lovisa;200;(191);64;(71)
60;(56);Hailey;215;(225);;Luna;342;(334);30;(35)
61;(45);Tyra ;212;(272);;Lykke;253;(236);48;(53)
62;(46);Elin;211;(268);;Maja ;618;(657);4;(2)
63;(62);Amelia ;205;(213);;Majken ;222;(220);57;(59)
64;(71);Lovisa;200;(191);;Maria;221;(224);58;(58)
65;(85);Märta ;198;(156);;Mariam;134;(145);94;(93)
66;(74);Rut;196;(184);;Matilda;133;(166);95;(81)
67;(50);Ida;195;(239);;Meja;241;(211);52;(63)
67;(49);Ingrid;195;(242);;Melina;138;(151);92;(87)
69;(56);Bianca ;189;(225);;Melissa ;174;(179);76;(75)
69;(64);Hanna;189;(210);;Mila;313;(238);35;(51)
69;(65);Ronja;189;(209);;Millie;128;(91);98;(Ny)
72;(72);Jasmine;187;(187);;Mira;139;(148);89;(91)
73;(76);Stina ;185;(177);;Moa ;139;(187);89;(72)
74;(78);Svea ;181;(171);;Molly ;388;(437);27;(25)
75;(80);Cleo;178;(168);;My ;123;(150);99;(88)
76;(75);Melissa ;174;(179);;Märta ;198;(156);65;(85)
77;(82);Hilma;171;(162);;Nellie;310;(309);36;(38)
78;(94);Filippa ;169;(141);;Nora;322;(356);31;(31)
78;(90);Hedvig ;169;(149);;Nova ;322;(385);31;(28)
80;(77);Julie;161;(173);;Olivia;645;(581);2;(7)
81;(79);Tilde ;156;(170);;Ronja;189;(209);69;(65)
82;(98);Lovis;155;(131);;Rut;196;(184);66;(74)
83;(83);Siri;154;(158);;Saga;523;(547);14;(11)
84;(59);Felicia;145;(220);;Sally;227;(197);56;(69)
85;(95);Cornelia ;144;(140);;Sara;348;(347);29;(33)
85;(91);Elina ;144;(148);;Selma;489;(534);20;(16)
85;(96);Elsie;144;(136);;Signe ;511;(538);17;(15)
88;(70);Joline;141;(195);;Sigrid ;288;(350);43;(32)
89;(99);Hilda ;139;(130);;Siri;154;(158);83;(83)
89;(91);Mira;139;(148);;Sofia ;303;(285);37;(42)
89;(72);Moa ;139;(187);;Stella ;461;(543);22;(13)
92;(87);Melina;138;(151);;Stina ;185;(177);73;(76)
93;(Ny);Bonnie;135;(93);;Svea ;181;(171);74;(78)
94;(93);Mariam;134;(145);;Thea ;243;(207);51;(67)
95;(81);Matilda;133;(166);;Tilde ;156;(170);81;(79)
95;(Ny);Wilda;133;(122);;Tuva;237;(215);54;(61)
97;(Ny);Bella;132;(98);;Tyra ;212;(272);61;(45)
98;(Ny);Millie;128;(91);;Vera ;607;(517);5;(19)
99;(88);My ;123;(150);;Victoria;122;(120);100;(Ny)
100;(84);Amanda ;122;(157);;Wilda;133;(122);95;(Ny)
100;(Ny);Victoria;122;(120);;Wilma;574;(600);8;(5)